Rank,Rank Δ,Player,Cons. Rating,Cons. Rating Δ,Rating,Rating Δ,RD,RD Δ,Opps,Ws,Ls,Ds,W%,Opps Δ,Ws Δ,Ls Δ,Ds Δ,W% Δ,Timeouts,Timeouts Δ,Last Played,Active
1,0,airren,1932.83,7.77,2026.31,7.05,31.16,-0.24,259,195,48,1,79.92,3.0,3.0,0.0,0.0,0.25,0,0.0,2024-12-22,True
2,0,whsvin,1921.91,-0.37,2002.52,-0.49,26.87,-0.04,473,336,102,0,76.71,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-11-05,True
3,0,weidenbaum,1886.49,-5.08,1962.99,-5.2,25.5,-0.04,923,585,269,1,68.42,3.0,0.0,3.0,0.0,-0.24,0,0.0,2024-12-22,True
4,0,wawrzyniec,1885.54,-2.59,1964.38,-2.71,26.28,-0.04,445,308,133,4,69.21,3.0,1.0,2.0,0.0,-0.25,0,0.0,2024-12-22,True
5,0,genghisip,1880.08,-1.06,1959.97,-1.06,26.63,0.0,455,309,142,4,67.91,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-09-10,True
6,0,pascalotopia,1875.0,-0.5,1957.11,-0.5,27.37,0.0,322,222,99,1,68.94,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-09-10,True
7,0,martin_pecheur,1871.55,3.03,1947.57,2.97,25.34,-0.02,1000,627,311,9,66.21,3.0,2.0,1.0,0.0,0.0,0,0.0,2024-12-22,True
8,0,direntropy,1865.58,-0.05,1956.6,-0.05,30.34,0.0,272,150,51,0,74.63,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-10-30,True
9,0,st4nkk,1861.78,0.29,1957.69,0.23,31.97,-0.02,303,242,61,0,79.87,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-09-10,True
-,-,leonc,1859.3,0.0,1968.02,0.0,36.24,0.0,168,80,19,2,79.21,0.0,0.0,0.0,0.0,0.0,0,0.0,2020-10-28,False
10,1,lambda,1848.77,-0.09,1936.55,-0.12,29.26,-0.01,270,200,66,4,74.07,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-09-04,True
11,1,pv4,1837.53,1.5,1912.89,1.47,25.12,-0.01,707,433,266,8,61.24,4.0,2.0,2.0,0.0,-0.07,0,0.0,2024-12-05,True
12,2,palino,1826.04,1.07,1903.8,1.1,25.92,0.01,657,363,192,0,65.41,4.0,3.0,1.0,0.0,0.07,0,0.0,2025-01-15,True
13,0,dirkules,1824.44,-0.83,1903.64,-0.83,26.4,0.0,363,241,121,1,66.39,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-07-15,True
14,1,lemmingsplayer,1815.48,0.34,1904.97,0.34,29.83,0.0,223,171,50,2,76.68,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-10-31,True
15,2,pajada,1813.6,4.16,1889.38,4.04,25.26,-0.04,1083,557,359,12,60.02,7.0,5.0,2.0,0.0,0.09,0,0.0,2025-01-04,True
16,+16,sandwhale,1812.73,-2.28,1897.81,-2.64,28.36,-0.12,254,173,81,0,68.11,3.0,1.0,2.0,0.0,-0.42,0,0.0,2024-12-05,True
17,11,sandhippo,1812.43,35.88,2001.16,28.71,62.91,-2.39,39,30,9,0,76.92,3.0,3.0,0.0,0.0,1.92,0,0.0,2024-10-31,True
18,-2,funestus,1810.8,0.35,1889.82,0.38,26.34,0.01,379,272,106,1,71.77,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-10-29,True
-,-,silent_x111,1808.68,0.03,1887.91,0.03,26.41,0.0,398,206,115,0,64.17,0.0,0.0,0.0,0.0,0.0,0,0.0,2022-07-06,False
19,-1,a440,1808.23,-0.32,1890.79,-0.32,27.52,0.0,342,188,78,2,70.15,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-07-30,True
-,-,binki,1806.91,0.29,1884.46,0.29,25.85,0.0,505,341,160,4,67.52,0.0,0.0,0.0,0.0,0.0,0,0.0,2023-12-03,False
20,-1,wolvs,1797.65,-5.94,1874.24,-6.12,25.53,-0.06,837,554,253,8,67.98,7.0,2.0,5.0,0.0,-0.34,0,0.0,2025-01-04,True
21,-11,pigfans,1796.16,-55.1,1968.75,-68.93,57.53,-4.61,78,65,13,0,83.33,7.0,2.0,5.0,0.0,-5.4,0,0.0,2025-01-05,True
22,-2,majondor,1794.37,2.51,1871.29,2.45,25.64,-0.02,583,370,203,2,64.35,3.0,2.0,1.0,0.0,0.01,0,0.0,2024-12-13,True
23,-2,e5582768,1791.7,0.35,1904.8,0.41,37.7,0.02,119,78,40,1,65.55,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-10-31,True
24,1,eepogi,1791.49,9.88,1867.48,9.88,25.33,0.0,808,482,297,6,61.4,7.0,7.0,0.0,0.0,0.35,0,0.0,2025-01-05,True
25,4,grozz,1791.02,15.2,1874.69,14.6,27.89,-0.2,280,205,64,3,75.37,7.0,7.0,0.0,0.0,0.65,0,0.0,2025-01-06,True
