Rank,Rank Δ,Player,Code,C Rating,C Rating Δ,Rating,Rating Δ,RD,RD Δ,Opps,Opps Δ,Ws,Ws Δ,Ls,Ls Δ,Ds,Ds Δ,W%,W% Δ,Last Played,Title,Leaderboard Rank
1,0,Weidenbaum,DE,1973.47,-26.63,2127.26,-32.9,51.26,-2.09,83,7.0,67,3.0,16,4.0,0,0.0,80.72,-3.49,2025-02-26,GM,1.0
-,-,Ender_Wiggin,CN,1922.28,-2.04,2164.19,0.0,80.64,0.68,30,0.0,26,0.0,3,0.0,1,0.0,86.67,0.0,2022-07-01,-,-
2,0,SandHippo,CN,1914.66,-2.41,2119.51,0.0,68.28,0.8,39,0.0,30,0.0,9,0.0,0,0.0,76.92,0.0,2024-10-31,-,153.0
3,0,Martin_Pecheur,FR,1912.42,7.52,2035.27,5.66,40.95,-0.62,129,7.0,95,4.0,32,2.0,2,1.0,73.64,-0.95,2025-02-12,GM,2.0
4,3,vanishadow,CN,1903.35,29.43,2080.23,14.09,58.96,-5.12,51,7.0,36,5.0,14,2.0,1,0.0,70.59,0.14,2025-02-10,-,41.0
5,-1,Genghisip,UA,1881.87,-2.51,2077.88,0.0,65.34,0.84,51,0.0,40,0.0,7,0.0,4,0.0,78.43,0.0,2024-09-10,GM,81.0
6,-1,GZ95,CN,1874.93,-2.28,2090.55,0.0,71.87,0.76,37,0.0,35,0.0,2,0.0,0,0.0,94.59,0.0,2024-08-11,-,129.0
7,2,ben0728,KR,1871.96,33.79,1997.64,30.33,41.89,-1.15,122,10.0,94,9.0,28,1.0,0,0.0,77.05,1.16,2025-02-14,-,98.0
8,-2,saru,CN,1871.46,-3.69,1987.89,-4.51,38.81,-0.27,156,7.0,121,3.0,34,4.0,1,0.0,77.56,-1.63,2025-02-16,M,5.0
9,-1,Airren,US,1847.47,-1.87,2110.47,0.0,87.67,0.62,22,0.0,18,0.0,4,0.0,0,0.0,81.82,0.0,2024-08-11,GM,69.0
10,6,DANeo,DE,1833.57,40.38,1990.31,30.51,52.25,-3.29,73,7.0,54,6.0,18,1.0,1,0.0,73.97,1.24,2025-02-09,GM,9.0
