Rank,Rank Δ,Player,Code,C Rating,C Rating Δ,Rating,Rating Δ,RD,RD Δ,Opps,Opps Δ,Ws,Ws Δ,Ls,Ls Δ,Ds,Ds Δ,W%,W% Δ,Last Played,Leaderboard Rank,Title,Title Count
-,-,Airren,US,1896.9,-2.88,2067.8,0.0,56.97,0.96,96,0.0,85,0.0,11,0.0,0,0.0,88.54,0.0,2023-09-14,55.0,GM,5
1,0,DireNTropy,US,1869.25,-14.76,1990.3,-12.13,40.35,0.88,228,2.0,176,0.0,52,2.0,0,0.0,77.19,-0.69,2025-07-07,-,GM,3
2,1,Wawrzyniec,PL,1857.0,-4.07,1979.26,0.0,40.75,1.36,192,0.0,136,0.0,53,0.0,3,0.0,70.83,0.0,2024-09-10,48.0,GM,8
3,1,Weidenbaum,DE,1852.62,-7.72,1935.23,-2.64,27.54,1.69,596,8.0,404,5.0,191,3.0,1,0.0,67.79,-0.07,2025-06-30,3.0,GM,27
4,-2,St4nkk,PL,1851.35,-15.2,1973.63,-14.74,40.76,0.15,174,6.0,142,3.0,32,3.0,0,0.0,81.61,-1.13,2025-06-13,100.0,M,1
5,0,whsvin,HK,1850.87,-5.19,1951.81,0.0,33.65,1.73,310,0.0,241,0.0,69,0.0,0,0.0,77.74,0.0,2025-02-20,14.0,GM,6
6,0,pv4,BE,1843.5,2.59,1930.37,6.88,28.95,1.43,424,6.0,262,5.0,158,1.0,4,0.0,61.79,0.31,2025-06-27,2.0,GM,14
7,1,totsilence,DE,1815.68,0.27,1896.78,5.16,27.03,1.63,544,8.0,372,6.0,167,2.0,5,0.0,68.38,0.1,2025-07-07,12.0,GM,2
8,2,Palino,SK,1814.03,5.8,1905.96,8.46,30.65,0.89,492,8.0,322,6.0,170,2.0,0,0.0,65.45,0.16,2025-07-07,159.0,GM,5
9,-2,Martin_Pecheur,FR,1810.59,-6.42,1889.0,-2.14,26.14,1.43,620,10.0,398,6.0,218,4.0,4,0.0,64.19,-0.07,2025-06-29,1.0,GM,15
10,-1,Genghisip,UA,1808.47,-4.31,1924.73,0.0,38.75,1.44,182,0.0,119,0.0,63,0.0,0,0.0,65.38,0.0,2025-04-29,46.0,GM,9
-,-,Dirkules,DE,1805.83,-3.94,1937.94,0.0,44.04,1.31,126,0.0,93,0.0,33,0.0,0,0.0,73.81,0.0,2024-07-15,122.0,GM,3
11,0,Lcfyx,FR,1804.92,-0.92,1892.98,2.81,29.35,1.24,318,6.0,215,4.0,102,2.0,1,0.0,67.61,-0.02,2025-06-23,11.0,M,5
12,0,Pascalotopia,CA,1799.98,-3.69,1932.87,0.0,44.3,1.23,116,0.0,79,0.0,37,0.0,0,0.0,68.1,0.0,2024-09-10,83.0,GM,5
13,1,pajada,CZ,1798.97,0.23,1878.07,5.07,26.37,1.61,744,10.0,434,8.0,301,2.0,9,0.0,58.33,0.29,2025-07-05,8.0,GM,11
14,-1,wolvs,UA,1795.75,-3.5,1872.44,2.34,25.57,1.95,530,10.0,361,7.0,164,3.0,5,0.0,68.11,0.03,2025-06-25,4.0,GM,3
15,5,mwi,PL,1792.42,8.59,1881.77,11.82,29.78,1.08,224,8.0,161,7.0,62,1.0,1,0.0,71.88,0.58,2025-07-01,21.0,M,1
16,3,Eske,DK,1791.03,5.05,1889.55,7.73,32.84,0.89,338,6.0,226,5.0,109,1.0,3,0.0,66.86,0.29,2025-06-28,26.0,GM,4
17,-2,Lambda,ES,1789.34,-3.98,1913.07,0.0,41.24,1.33,138,0.0,104,0.0,33,0.0,1,0.0,75.36,0.0,2025-04-28,41.0,GM,2
18,-1,funestus,NO,1784.4,-5.51,1879.08,0.0,31.56,1.84,266,0.0,185,0.0,79,0.0,2,0.0,69.55,0.0,2025-05-31,10.0,GM,2
19,-1,Grozz,RU,1782.07,-6.36,1870.18,-3.18,29.37,1.06,230,10.0,170,6.0,57,4.0,3,0.0,73.91,-0.64,2025-06-30,13.0,M,1
20,1,DANeo,DE,1780.58,-1.83,1869.45,1.82,29.62,1.22,244,6.0,151,4.0,90,2.0,3,0.0,61.89,0.13,2025-06-23,7.0,GM,3
21,1,barboucha,FR,1777.09,-5.32,1877.09,-0.81,33.33,1.5,240,2.0,174,1.0,64,1.0,2,0.0,72.5,-0.19,2025-06-24,41.0,GM,1
22,-6,Sohoof,NL,1777.03,-14.7,1905.83,-16.81,42.93,-0.7,114,6.0,87,2.0,26,4.0,1,0.0,76.32,-2.38,2025-06-25,87.0,-,0
-,-,silent_x111,US,1776.08,-3.42,1925.05,0.0,49.66,1.14,234,0.0,172,0.0,62,0.0,0,0.0,73.5,0.0,2022-07-06,-,GM,14
23,1,Vovka,UA,1769.67,-1.87,1901.13,-4.54,43.82,-0.89,84,6.0,72,3.0,12,3.0,0,0.0,85.71,-2.75,2025-06-29,241.0,-,0
-,-,Binki,RU,1768.68,-4.35,1882.46,0.0,37.93,1.45,256,0.0,170,0.0,84,0.0,2,0.0,66.41,0.0,2023-12-03,-,GM,3
24,14,a440,CA,1768.56,19.88,1891.1,18.65,40.85,-0.41,192,6.0,131,5.0,60,1.0,1,0.0,68.23,0.49,2025-06-29,182.0,-,0
25,3,Majondor,AU,1768.34,3.89,1852.68,7.79,28.11,1.3,402,8.0,254,6.0,145,1.0,3,1.0,63.18,0.24,2025-06-28,9.0,GM,5
26,8,Tamirys,US,1766.77,9.19,1849.29,13.62,27.51,1.48,596,8.0,350,7.0,240,1.0,6,0.0,58.72,0.39,2025-06-23,64.0,GM,9
