Rank,Rank Δ,Player,Code,C Rating,C Rating Δ,Rating,Rating Δ,RD,RD Δ,Opps,Opps Δ,Ws,Ws Δ,Ls,Ls Δ,Ds,Ds Δ,W%,W% Δ,Last Played,Title,Title Count,Leaderboard Rank
1,0,a440,CA,1926.19,13.05,2058.09,12.75,43.97,-0.1,153,6.0,127,6.0,26,0.0,0,0.0,83.01,0.7,2026-05-07,-,0,26.0
2,3,Genghisip,UA,1913.43,20.75,2013.95,19.74,33.51,-0.33,288,12.0,194,10.0,94,2.0,0,0.0,67.36,0.69,2026-04-24,GM,9,27.0
3,0,Wawrzyniec,PL,1900.39,-1.31,1998.61,-3.68,32.74,-0.79,288,21.0,202,15.0,85,6.0,1,0.0,70.14,0.1,2026-04-25,GM,8,94.0
4,0,Grozz,RU,1892.93,-3.99,1982.85,-7.6,29.97,-1.2,210,27.0,142,16.0,67,11.0,1,0.0,67.62,-1.23,2026-04-29,M,1,6.0
5,1,Martin_Pecheur,FR,1885.6,22.22,1967.87,22.17,27.42,-0.01,468,24.0,295,20.0,166,3.0,7,1.0,63.03,1.09,2026-05-06,GM,15,1.0
6,-4,whsvin,HK,1877.86,-34.33,1994.01,-34.88,38.71,-0.18,210,12.0,156,6.0,54,6.0,0,0.0,74.29,-1.47,2026-04-30,GM,6,64.0
7,4,Dantes,US,1868.41,24.29,1969.76,16.84,33.78,-2.48,159,24.0,116,18.0,43,6.0,0,0.0,72.96,0.37,2026-05-04,P,1,36.0
-,-,Pascalotopia,CA,1861.28,-3.89,1990.51,0.0,43.08,1.3,189,0.0,131,0.0,57,0.0,1,0.0,69.31,0.0,2024-09-10,GM,5,-
8,7,Weidenbaum,DE,1858.18,24.84,1942.42,22.92,28.08,-0.64,450,30.0,281,23.0,168,7.0,1,0.0,62.44,1.01,2026-05-03,GM,27,10.0
9,5,Majondor,AU,1857.87,23.96,1945.29,20.84,29.14,-1.04,345,27.0,221,21.0,123,6.0,1,0.0,64.06,1.17,2026-05-06,GM,5,8.0
10,-2,Sylvain,FR,1853.55,0.17,1937.9,-0.24,28.12,-0.14,417,24.0,265,15.0,147,9.0,5,0.0,63.55,-0.06,2026-05-14,M,2,38.0
11,-4,Eepogi,FI,1851.97,-6.67,1936.51,-3.95,28.18,0.91,432,12.0,261,5.0,168,7.0,3,0.0,60.42,-0.53,2026-04-24,GM,1,2.0
12,-2,Arne,DE,1850.87,6.57,1938.05,3.47,29.06,-1.03,246,27.0,164,16.0,80,11.0,2,0.0,66.67,-0.91,2026-04-29,M,4,14.0
13,-4,funestus,NO,1846.02,1.1,1944.74,0.33,32.91,-0.26,219,12.0,145,6.0,74,6.0,0,0.0,66.21,-0.94,2026-04-24,GM,2,11.0
14,-2,Plunderteig,CN,1837.71,-2.23,2058.56,0.0,73.62,0.74,42,0.0,35,0.0,7,0.0,0,0.0,83.33,0.0,2025-09-19,-,0,102.0
-,-,Airren,US,1833.6,-3.26,1985.85,0.0,50.75,1.09,144,0.0,106,0.0,37,0.0,1,0.0,73.61,0.0,2025-02-17,GM,5,622.0
15,10,yaop,CN,1824.33,28.55,1921.28,19.22,32.32,-3.11,177,30.0,129,21.0,47,9.0,1,0.0,72.88,-0.59,2026-05-12,G,1,28.0
16,-3,Lambda,ES,1818.72,-18.36,1918.01,-19.02,33.1,-0.22,204,12.0,128,4.0,73,8.0,3,0.0,62.75,-1.83,2026-04-26,GM,2,22.0
17,new,SandHippo,CN,1817.23,1367.23,2334.81,834.81,172.53,172.53,6,6.0,6,6.0,0,0.0,0,0.0,100.0,100.0,2026-04-27,-,0,238.0
18,-1,Sandwhale,US,1811.88,-4.07,1933.24,0.0,40.45,1.36,171,0.0,109,0.0,62,0.0,0,0.0,63.74,0.0,2025-08-19,GM,2,82.0
19,-1,St4nkk,PL,1810.12,-3.72,1944.85,0.0,44.91,1.24,129,0.0,99,0.0,30,0.0,0,0.0,76.74,0.0,2025-08-02,M,1,265.0
-,-,Binki,RU,1809.26,-3.78,1942.93,0.0,44.56,1.26,186,0.0,129,0.0,55,0.0,2,0.0,69.35,0.0,2023-12-03,GM,3,-
20,1,pajada,CZ,1807.32,-4.86,1891.67,-6.51,28.12,-0.55,486,30.0,285,19.0,197,11.0,4,0.0,58.64,0.31,2026-05-03,GM,11,12.0
21,-2,mwi,PL,1806.22,-7.6,1895.22,-10.93,29.67,-1.11,219,24.0,135,10.0,83,14.0,1,0.0,61.64,-2.46,2026-05-03,M,1,13.0
-,-,jmamos,-,1806.03,-2.62,1994.19,0.0,62.72,0.87,78,0.0,72,0.0,6,0.0,0,0.0,92.31,0.0,2025-04-28,G,4,380.0
22,11,moemoe,DE,1804.66,22.34,1889.18,17.61,28.17,-1.58,270,36.0,190,25.0,77,10.0,3,1.0,70.37,-0.14,2026-04-30,-,0,65.0
23,-7,pv4,BE,1803.32,-15.76,1891.5,-13.51,29.39,0.75,381,12.0,218,5.0,160,7.0,3,0.0,57.22,-0.5,2026-04-29,GM,14,3.0
24,5,Dots,DE,1803.29,14.91,1956.09,7.52,50.93,-2.46,78,6.0,60,4.0,18,2.0,0,0.0,76.92,-0.86,2026-05-12,GM,2,123.0
25,-3,wolvs,UA,1803.05,-8.35,1886.71,-7.43,27.89,0.31,402,21.0,261,10.0,138,11.0,3,0.0,64.93,-0.95,2026-04-25,GM,3,5.0
