Rank,Rank Δ,Player,Code,C Rating,C Rating Δ,Rating,Rating Δ,RD,RD Δ,Opps,Opps Δ,Ws,Ws Δ,Ls,Ls Δ,Ds,Ds Δ,W%,W% Δ,Last Played,Title,Title Count,Leaderboard Rank
1,0,Wawrzyniec,PL,1912.13,-32.46,2001.87,-33.74,29.91,-0.42,529.0,33.0,375.0,20.0,150.0,13.0,4.0,0.0,70.89,-0.68,2026-01-29,GM,8,94.0
2,3,Grozz,RU,1909.89,9.08,1975.54,9.68,21.88,0.2,618.0,68.0,447.0,46.0,166.0,22.0,5.0,0.0,72.33,-0.58,2026-02-28,M,1,6.0
3,-1,Genghisip,UA,1907.87,1.44,1993.12,1.56,28.42,0.04,539.0,18.0,363.0,11.0,172.0,7.0,4.0,0.0,67.35,-0.21,2026-01-21,GM,9,27.0
4,0,whsvin,HK,1902.52,-0.4,2001.57,4.02,33.02,1.47,539.0,15.0,414.0,15.0,124.0,0.0,1.0,0.0,76.81,0.66,2026-01-28,GM,6,64.0
5,1,DireNTropy,US,1898.0,4.2,2012.59,1.72,38.2,-0.83,308.0,12.0,238.0,9.0,69.0,3.0,1.0,0.0,77.27,-0.09,2026-02-28,GM,3,-
6,1,a440,CA,1877.68,0.6,1972.52,1.54,31.61,0.31,410.0,15.0,296.0,10.0,111.0,4.0,3.0,1.0,72.2,-0.21,2026-02-28,-,0,26.0
7,3,Weidenbaum,DE,1876.84,16.42,1943.88,16.62,22.35,0.07,1229.0,66.0,813.0,45.0,413.0,21.0,3.0,0.0,66.15,0.11,2026-02-28,GM,27,10.0
8,3,pv4,BE,1873.95,13.75,1938.66,16.87,21.57,1.04,986.0,38.0,596.0,27.0,377.0,9.0,13.0,2.0,60.45,0.43,2026-02-24,GM,14,3.0
9,0,Martin_Pecheur,FR,1873.48,6.2,1934.44,6.95,20.32,0.25,1342.0,66.0,861.0,42.0,468.0,23.0,13.0,1.0,64.16,-0.02,2026-02-26,GM,15,1.0
10,11,Arne,DE,1871.28,29.04,1936.61,29.48,21.78,0.15,583.0,55.0,398.0,42.0,181.0,12.0,4.0,1.0,68.27,0.85,2026-02-28,M,4,14.0
11,-3,Plunderteig,CN,1869.44,-3.74,2002.79,0.03,44.45,1.26,105.0,0.0,84.0,0.0,21.0,0.0,0.0,0.0,80.0,0.0,2025-10-11,-,0,102.0
12,4,wolvs,UA,1868.36,16.2,1938.09,18.41,23.24,0.74,1233.0,64.0,829.0,41.0,395.0,22.0,9.0,1.0,67.23,-0.18,2026-02-28,GM,3,5.0
13,9,mwi,PL,1856.22,15.69,1920.4,15.86,21.39,0.06,641.0,59.0,425.0,42.0,213.0,17.0,3.0,0.0,66.3,0.49,2026-02-28,M,1,13.0
14,3,funestus,NO,1852.23,1.86,1927.62,1.43,25.13,-0.15,533.0,34.0,358.0,20.0,173.0,14.0,2.0,0.0,67.17,-0.57,2026-02-28,GM,2,11.0
